scenario_group,attack_case,mode,attack_profile,status,decision,error,latency_ms,unauthorized_success,expected_reject,invariant_violated
A,fake_session_id,mcpd,,error,,session not found or expired,0.334,0,1,0
A,expired_session,mcpd,,error,,session not found or expired,0.899,0,1,0
A,session_token_theft,mcpd,,error,,session is bound to a different peer identity,3.525,0,1,0
A,fake_session_id,mcpd,,error,,session not found or expired,0.45,0,1,0
A,expired_session,mcpd,,error,,session not found or expired,4.266,0,1,0
A,session_token_theft,mcpd,,error,,session is bound to a different peer identity,2.132,0,1,0
A,fake_session_id,mcpd,,error,,session not found or expired,2.88,0,1,0
A,expired_session,mcpd,,error,,session not found or expired,4.555,0,1,0
A,session_token_theft,mcpd,,error,,session is bound to a different peer identity,1.105,0,1,0
A,fake_session_id,mcpd,,error,,session not found or expired,0.446,0,1,0
A,expired_session,mcpd,,error,,session not found or expired,1.242,0,1,0
A,session_token_theft,mcpd,,error,,session is bound to a different peer identity,3.763,0,1,0
A,fake_session_id,mcpd,,error,,session not found or expired,1.378,0,1,0
A,expired_session,mcpd,,error,,session not found or expired,2.951,0,1,0
A,session_token_theft,mcpd,,error,,session is bound to a different peer identity,1.689,0,1,0
A,fake_session_id,mcpd,,error,,session not found or expired,0.546,0,1,0
A,expired_session,mcpd,,error,,session not found or expired,0.67,0,1,0
A,session_token_theft,mcpd,,error,,session is bound to a different peer identity,9.311,0,1,0
A,fake_session_id,mcpd,,error,,session not found or expired,8.599,0,1,0
A,expired_session,mcpd,,error,,session not found or expired,0.819,0,1,0
A,session_token_theft,mcpd,,error,,session is bound to a different peer identity,3.154,0,1,0
A,fake_session_id,mcpd,,error,,session not found or expired,5.573,0,1,0
A,expired_session,mcpd,,error,,session not found or expired,1.561,0,1,0
A,session_token_theft,mcpd,,error,,session is bound to a different peer identity,4.762,0,1,0
B,forged_approval_ticket,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,8.918,0,1,0
B,cross_agent_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,1.558,0,1,0
B,cross_tool_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,6.155,0,1,0
B,expired_ticket_replay,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,2.769,0,1,0
B,denied_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,1.247,0,1,0
B,forged_approval_ticket,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,3.688,0,1,0
B,cross_agent_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,0.991,0,1,0
B,cross_tool_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,7.999,0,1,0
B,expired_ticket_replay,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,15.789,0,1,0
B,denied_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,1.158,0,1,0
B,forged_approval_ticket,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,2.66,0,1,0
B,cross_agent_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,1.035,0,1,0
B,cross_tool_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,1.895,0,1,0
B,expired_ticket_replay,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,5.7,0,1,0
B,denied_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,0.801,0,1,0
B,forged_approval_ticket,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_unknown,0.997,0,1,0
B,cross_agent_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,3.743,0,1,0
B,cross_tool_ticket_reuse,mcpd,,error,DEFER,kernel arbitration deferred: approval_ticket_scope_mismatch,3.774,0,1,0
